,binaryClass_cat,Age_cat,Gender_cat,Race_cat
0,P,10-14,Male,White
1,N,15-19,Male,White
2,N,20-24,Male,White
3,P,25-29,Male,White
4,P,30-34,Male,White
5,P,35-39,Male,White
6,P,40-44,Male,White
7,P,45-54,Male,White
8,P,55-64,Male,White
9,P,65+,Male,White
10,P,10-14,Female,White
11,N,15-19,Female,White
12,N,20-24,Female,White
13,N,25-29,Female,White
14,N,30-34,Female,White
15,P,35-39,Female,White
16,P,40-44,Female,White
17,P,45-54,Female,White
18,P,55-64,Female,White
19,P,65+,Female,White
20,P,10-14,Male,Black
21,N,15-19,Male,Black
22,N,20-24,Male,Black
23,N,25-29,Male,Black
24,P,30-34,Male,Black
25,P,35-39,Male,Black
26,P,40-44,Male,Black
27,P,45-54,Male,Black
28,P,55-64,Male,Black
29,P,65+,Male,Black
30,N,10-14,Female,Black
31,N,15-19,Female,Black
32,N,20-24,Female,Black
33,N,25-29,Female,Black
34,N,30-34,Female,Black
35,P,35-39,Female,Black
36,P,40-44,Female,Black
37,P,45-54,Female,Black
38,P,55-64,Female,Black
39,P,65+,Female,Black
40,P,10-14,Male,Hispanic
41,P,15-19,Male,Hispanic
42,N,20-24,Male,Hispanic
43,P,25-29,Male,Hispanic
44,P,30-34,Male,Hispanic
45,P,35-39,Male,Hispanic
46,P,40-44,Male,Hispanic
47,P,45-54,Male,Hispanic
48,P,55-64,Male,Hispanic
49,P,65+,Male,Hispanic
50,P,10-14,Female,Hispanic
51,N,15-19,Female,Hispanic
52,N,20-24,Female,Hispanic
53,N,25-29,Female,Hispanic
54,N,30-34,Female,Hispanic
55,P,35-39,Female,Hispanic
56,P,40-44,Female,Hispanic
57,P,45-54,Female,Hispanic
58,P,55-64,Female,Hispanic
59,P,65+,Female,Hispanic
60,P,10-14,Male,Asian/Pacific_Island
61,P,15-19,Male,Asian/Pacific_Island
62,P,20-24,Male,Asian/Pacific_Island
63,P,25-29,Male,Asian/Pacific_Island
64,P,30-34,Male,Asian/Pacific_Island
65,P,35-39,Male,Asian/Pacific_Island
66,P,40-44,Male,Asian/Pacific_Island
67,P,45-54,Male,Asian/Pacific_Island
68,P,55-64,Male,Asian/Pacific_Island
69,P,65+,Male,Asian/Pacific_Island
70,P,10-14,Female,Asian/Pacific_Island
71,P,15-19,Female,Asian/Pacific_Island
72,P,20-24,Female,Asian/Pacific_Island
73,P,25-29,Female,Asian/Pacific_Island
74,P,30-34,Female,Asian/Pacific_Island
75,P,35-39,Female,Asian/Pacific_Island
76,P,40-44,Female,Asian/Pacific_Island
77,P,45-54,Female,Asian/Pacific_Island
78,P,55-64,Female,Asian/Pacific_Island
79,P,65+,Female,Asian/Pacific_Island
80,P,10-14,Male,American_Indian
81,P,15-19,Male,American_Indian
82,P,20-24,Male,American_Indian
83,P,25-29,Male,American_Indian
84,P,30-34,Male,American_Indian
85,P,35-39,Male,American_Indian
86,P,40-44,Male,American_Indian
87,P,45-54,Male,American_Indian
88,P,55-64,Male,American_Indian
89,P,65+,Male,American_Indian
90,P,10-14,Female,American_Indian
91,P,15-19,Female,American_Indian
92,P,20-24,Female,American_Indian
93,P,25-29,Female,American_Indian
94,P,30-34,Female,American_Indian
95,P,35-39,Female,American_Indian
96,P,40-44,Female,American_Indian
97,P,45-54,Female,American_Indian
98,P,55-64,Female,American_Indian
99,P,65+,Female,American_Indian
