,temperature_num,heart_rate_num,sleep_state_cat
0,37.45,152,4
1,37.45,156,4
2,37.45,147,4
3,37.45,145,4
4,37.45,129,4
5,37.45,131,4
6,37.45,137,4
7,37.45,138,4
8,37.4,139,4
9,37.4,141,4
10,37.4,142,4
11,37.4,128,4
12,37.4,142,4
13,37.4,155,4
14,37.4,150,4
15,37.4,146,4
16,37.4,150,4
17,37.4,146,4
18,37.4,151,4
19,37.4,145,4
20,37.4,146,4
21,37.4,146,4
22,37.4,139,4
23,37.4,135,4
24,37.35,141,4
25,37.35,145,4
26,37.35,149,4
27,37.35,140,4
28,37.35,146,4
29,37.4,147,4
30,37.4,144,4
31,37.4,140,4
32,37.35,135,4
33,37.35,118,4
34,37.35,120,4
35,37.35,135,4
36,37.3,146,4
37,37.35,139,4
38,37.3,138,4
39,37.3,129,4
40,37.3,130,4
41,37.3,128,4
42,37.35,125,4
43,37.35,127,4
44,37.35,131,4
45,37.35,132,4
46,37.35,145,4
47,37.4,153,4
48,37.35,154,4
49,37.35,145,4
50,37.35,146,4
51,37.35,140,4
52,37.35,134,4
53,37.35,128,4
54,37.35,127,4
55,37.35,140,4
56,37.35,143,4
57,37.35,138,4
58,37.35,124,4
59,37.35,123,4
60,37.35,131,4
61,37.35,151,4
62,37.35,136,4
63,37.3,126,2
64,37.35,127,2
65,37.35,129,2
66,37.35,124,2
67,37.35,128,2
68,37.35,130,2
69,37.35,121,2
70,37.3,141,2
71,37.35,128,2
72,37.3,130,2
73,37.3,124,2
74,37.35,128,1
75,37.3,122,1
76,37.3,130,1
77,37.3,130,1
78,37.3,135,1
79,37.3,125,1
80,37.3,123,1
81,37.3,127,1
82,37.3,125,1
83,37.25,125,1
84,37.25,129,1
85,37.25,128,1
86,37.25,130,1
87,37.2,128,1
88,37.2,130,1
89,37.2,129,1
90,37.2,129,1
91,37.2,129,1
92,37.2,130,1
93,37.2,131,1
94,37.2,131,1
95,37.2,130,1
96,37.2,131,1
97,37.2,131,1
98,37.2,132,1
99,37.2,129,1
100,37.2,131,1
101,37.15,131,1
102,37.15,128,1
103,37.15,127,1
104,37.15,128,1
105,37.15,129,1
106,37.15,131,1
107,37.15,131,1
108,37.15,131,1
109,37.15,131,1
110,37.15,129,1
111,37.15,125,1
112,37.15,124,1
113,37.15,130,1
114,37.15,125,1
115,37.15,126,1
116,37.15,127,1
117,37.15,124,1
118,37.15,122,1
119,37.15,128,1
120,37.15,128,1
121,37.15,126,1
122,37.15,130,1
123,37.15,114,1
124,37.15,123,1
125,37.15,116,3
126,37.15,127,3
127,37.15,123,3
128,37.15,131,3
129,37.15,125,3
130,37.15,123,3
131,37.15,125,3
132,37.15,123,3
133,37.15,114,3
134,37.1,120,3
135,37.15,130,3
136,37.15,126,3
137,37.15,112,3
138,37.15,114,3
139,37.15,125,3
140,37.15,128,3
141,37.1,115,3
142,37.15,121,3
143,37.15,124,3
144,37.15,128,3
145,37.1,118,3
146,37.1,119,3
147,37.1,121,3
148,37.1,130,3
149,37.1,115,3
150,37.1,124,3
151,37.1,129,3
152,37.05,125,3
153,37.05,120,3
154,37.05,118,3
155,37.1,121,3
156,37.1,120,3
157,37.05,119,3
158,37.05,127,3
159,37.05,120,3
160,37.05,124,3
161,37.05,121,3
162,37.1,120,3
163,37.05,122,3
164,37.05,118,3
165,37.05,112,3
166,37.05,115,3
167,37.05,120,3
168,37.05,123,3
169,37.05,125,3
170,37.05,113,2
171,37.05,124,2
172,37.05,133,2
173,37.05,117,2
174,37.05,121,2
175,37.05,121,2
176,37.1,117,2
177,37.1,124,2
178,37.05,133,2
179,37.05,129,2
180,37.05,120,2
181,37.05,129,2
182,37.05,114,2
183,37.05,119,2
184,37.05,123,2
185,37.05,131,2
186,37.05,114,2
187,37.05,124,1
188,37.05,123,1
189,37.05,128,1
190,37.05,117,1
191,37.05,118,1
192,37.05,118,1
193,37.05,120,1
194,37.05,119,1
195,37.05,120,1
196,37.05,124,1
197,37.05,126,1
198,37.05,124,1
199,37.05,122,1
200,37.05,122,1
201,37.05,118,1
202,37.05,123,1
203,37.05,122,1
204,37.05,124,1
205,37.05,124,1
206,37.05,125,1
207,37.05,124,1
208,37.05,122,1
209,37.05,122,1
210,37.0,124,1
211,37.0,124,1
212,37.0,121,1
213,37.0,123,1
214,37.0,123,1
215,37.0,124,1
216,37.0,121,1
217,37.0,124,1
218,37.0,124,1
219,37.0,123,1
220,36.95,120,1
221,36.95,123,1
222,36.95,121,1
223,36.95,124,1
224,36.95,122,1
225,36.95,123,1
226,36.95,124,1
227,36.95,122,1
228,36.95,122,1
229,36.95,119,1
230,36.95,123,1
231,36.95,120,1
232,36.95,121,1
233,36.95,120,1
234,36.95,122,1
235,36.95,119,1
236,36.95,119,1
237,36.95,116,1
238,36.9,119,1
239,36.9,117,1
240,36.9,120,1
241,36.9,110,1
242,36.9,112,1
243,36.9,112,1
244,36.9,117,1
245,36.9,113,1
246,36.9,114,1
247,36.9,121,1
248,36.9,123,1
249,36.85,111,3
250,36.9,117,3
251,36.9,129,3
252,36.85,119,3
253,36.9,110,3
254,36.9,117,3
255,36.85,114,3
256,36.9,113,3
257,36.85,117,3
258,36.85,115,4
259,36.9,140,4
260,36.9,130,4
261,36.9,122,4
262,36.9,123,4
263,36.9,106,4
264,36.9,118,4
265,36.9,126,4
266,36.9,117,4
267,36.9,117,4
268,36.9,119,4
269,36.9,132,4
270,36.9,142,4
271,36.9,115,4
272,36.9,128,4
273,36.9,112,4
274,36.9,112,4
275,36.9,118,4
276,36.9,138,4
277,36.9,109,4
278,36.9,118,4
279,36.9,119,4
280,36.95,113,4
281,36.95,124,4
282,36.95,128,4
283,36.95,122,4
284,36.95,123,4
285,36.95,114,4
286,36.95,113,4
287,36.95,133,4
288,36.95,116,4
289,36.95,119,4
290,36.95,111,3
291,36.95,113,3
292,36.95,121,3
293,36.95,121,3
294,37.0,124,3
295,37.0,112,3
296,37.0,122,3
297,37.0,118,3
298,37.0,127,3
299,37.0,115,3
300,36.95,119,3
301,36.95,123,3
302,36.95,111,3
303,37.0,116,3
304,36.95,124,3
305,36.95,123,3
306,36.95,123,3
307,37.0,116,3
308,36.95,124,3
309,36.95,132,3
310,36.95,116,3
311,36.95,126,1
312,36.95,114,1
313,36.95,120,1
314,36.95,125,1
315,36.95,121,1
316,36.95,119,1
317,36.95,124,1
318,36.95,126,1
319,36.95,127,1
320,36.95,117,1
321,36.95,122,1
322,36.95,119,1
323,36.95,120,1
324,36.95,128,1
325,36.95,125,1
326,36.95,130,1
327,36.95,130,1
328,36.95,124,1
329,36.95,118,1
330,36.95,122,1
331,36.95,116,1
332,36.95,122,1
333,36.95,119,1
334,36.95,120,1
335,36.95,128,1
336,36.95,125,1
337,36.95,128,1
338,36.95,126,1
339,36.95,120,1
340,36.95,120,1
341,36.95,118,1
342,36.95,113,1
343,36.95,119,1
344,36.95,118,1
345,36.95,123,1
346,36.95,123,1
347,36.9,122,1
348,36.95,123,1
349,36.9,122,1
350,36.9,122,1
351,36.9,117,1
352,36.9,119,1
353,36.9,123,1
354,36.9,120,1
355,36.9,115,1
356,36.9,120,1
357,36.9,122,1
358,36.9,118,1
359,36.9,102,1
360,36.9,111,1
361,36.9,130,1
362,36.9,121,1
363,36.9,140,1
364,36.9,122,2
365,36.9,114,2
366,36.9,118,2
367,36.9,122,2
368,36.9,125,3
369,36.9,126,3
370,36.9,123,3
371,36.9,127,3
372,36.9,114,3
373,36.9,122,3
374,36.9,124,3
375,36.9,124,3
376,36.9,134,4
377,36.9,133,4
378,36.9,117,3
379,36.9,120,3
380,36.9,114,3
381,36.9,124,3
382,36.95,127,3
383,36.9,123,3
384,36.9,137,3
385,36.9,140,3
386,36.9,120,3
387,36.95,120,3
388,36.95,126,3
389,36.9,121,3
390,36.9,135,3
391,36.9,123,3
392,36.9,138,4
393,36.9,147,4
394,36.95,157,4
395,36.95,164,4
396,36.95,155,4
397,36.95,151,4
398,36.95,151,4
399,36.95,153,4
400,36.95,148,4
401,36.95,152,4
402,36.95,152,4
403,36.95,150,4
404,36.95,150,4
405,37.0,144,4
406,37.0,140,4
407,37.0,148,4
408,37.0,136,4
409,37.0,132,4
410,37.0,137,4
411,37.0,146,4
412,37.0,151,4
413,37.05,136,4
414,37.05,137,4
415,37.05,143,4
416,37.05,133,4
417,37.05,128,4
418,37.05,132,4
419,37.05,147,4
420,37.05,152,4
421,37.05,130,4
422,37.05,129,4
423,37.05,132,4
424,37.1,140,4
425,37.1,132,4
426,37.1,129,4
427,37.15,156,4
428,37.15,157,4
429,37.15,158,4
430,37.15,161,4
431,37.15,163,4
432,37.2,159,4
433,37.2,157,4
434,37.2,156,4
435,37.2,155,4
436,37.2,164,4
437,37.2,147,4
438,37.2,132,4
439,37.2,135,4
440,37.2,137,4
441,37.2,128,4
442,37.25,133,4
443,37.25,133,4
444,37.25,130,4
445,37.3,132,4
446,37.3,140,4
447,37.3,144,4
448,37.3,162,4
449,37.3,143,4
450,37.3,158,4
451,37.3,157,4
452,37.3,155,4
453,37.3,147,2
454,37.3,140,2
455,37.3,128,3
456,37.35,131,3
457,37.35,124,3
458,37.35,130,3
459,37.35,130,3
460,37.35,138,3
461,37.35,135,3
462,37.35,134,3
463,37.35,140,3
464,37.35,139,3
465,37.35,130,3
466,37.35,127,3
467,37.35,129,3
468,37.35,147,3
469,37.35,137,3
470,37.35,129,3
471,37.35,141,3
472,37.35,135,3
473,37.35,135,3
474,37.35,141,3
475,37.35,147,3
476,37.35,137,3
477,37.35,138,3
478,37.35,144,3
479,37.35,140,3
480,37.35,135,3
481,37.35,148,3
482,37.35,154,1
483,37.35,136,1
484,37.35,130,1
485,37.35,132,1
486,37.35,131,1
487,37.3,131,1
488,37.35,136,1
489,37.3,139,1
490,37.3,131,1
491,37.3,136,1
492,37.3,133,1
493,37.3,134,1
494,37.3,136,1
495,37.3,134,1
496,37.3,131,1
497,37.3,132,1
498,37.3,124,1
499,37.3,129,1
500,37.3,130,1
501,37.3,133,1
502,37.3,132,1
503,37.25,130,1
504,37.25,124,1
505,37.25,125,1
506,37.25,127,1
507,37.25,127,1
508,37.25,130,1
509,37.2,128,1
510,37.2,129,1
511,37.2,129,1
512,37.2,129,1
513,37.2,127,1
514,37.2,129,1
515,37.2,130,1
516,37.2,129,1
517,37.2,129,1
518,37.2,129,1
519,37.15,129,1
520,37.15,131,1
521,37.15,130,1
522,37.15,129,1
523,37.15,127,1
524,37.15,128,1
525,37.15,129,1
526,37.15,130,1
527,37.15,128,1
528,37.1,126,1
529,37.1,126,1
530,37.1,127,1
531,37.1,129,1
532,37.1,129,1
533,37.1,129,1
534,37.05,129,1
535,37.05,128,1
536,37.05,128,1
537,37.05,128,1
538,37.05,126,1
539,37.05,126,1
540,37.05,127,1
541,37.05,125,1
542,37.05,128,1
543,37.05,124,1
544,37.0,127,1
545,37.0,118,1
546,37.0,118,1
547,37.0,120,1
548,36.95,124,1
549,36.95,135,1
550,36.95,126,3
551,36.95,132,3
552,36.95,135,3
553,36.95,129,3
554,36.95,131,3
555,36.95,126,3
556,36.95,117,3
557,36.95,136,3
558,36.95,137,3
559,36.95,126,3
560,36.95,126,3
561,36.95,124,3
562,36.95,122,3
563,37.0,122,3
564,37.0,124,3
565,36.95,124,3
566,37.0,138,3
567,37.0,145,3
568,37.0,124,3
569,37.0,128,3
570,37.0,125,3
571,37.0,125,3
572,37.05,142,3
573,37.05,125,3
574,37.05,123,3
575,37.05,130,3
576,37.05,133,3
577,37.05,135,3
578,37.05,119,3
579,37.05,130,3
580,37.05,131,3
581,37.05,128,3
582,37.05,139,3
583,37.05,132,3
584,37.05,124,3
585,37.05,128,3
586,37.05,136,3
587,37.05,126,3
588,37.05,129,3
589,37.05,129,3
590,37.05,130,3
591,37.05,123,3
592,37.05,129,3
593,37.05,129,3
594,37.05,137,3
595,37.05,125,3
596,37.05,137,3
597,37.05,141,3
598,37.05,121,2
599,37.05,124,2
600,37.05,126,2
601,37.05,132,2
602,37.1,124,2
603,37.05,127,2
604,37.05,138,2
605,37.05,120,2
606,37.05,127,2
607,37.05,125,2
608,37.05,132,2
609,37.05,150,2
610,37.05,120,2
611,37.05,127,2
612,37.1,133,2
613,37.05,123,2
614,37.05,134,2
615,37.05,135,2
616,37.05,121,2
617,37.05,143,2
618,37.05,119,2
619,37.05,130,2
620,37.05,132,2
621,37.05,127,2
622,37.05,135,2
623,37.05,123,1
624,37.05,137,1
625,37.05,122,1
626,37.1,128,1
627,37.1,133,1
628,37.1,125,1
629,37.1,132,1
630,37.05,132,1
631,37.05,138,1
632,37.1,121,1
633,37.05,131,1
634,37.05,120,1
635,37.1,127,1
636,37.1,126,1
637,37.1,126,1
638,37.1,129,1
639,37.1,131,1
640,37.1,127,1
641,37.1,129,1
642,37.1,128,1
643,37.1,128,1
644,37.1,125,1
645,37.1,126,1
646,37.1,124,1
647,37.05,125,1
648,37.05,125,1
649,37.05,128,1
650,37.05,126,1
651,37.05,121,1
652,37.05,125,1
653,37.05,127,1
654,37.05,129,1
655,37.05,127,1
656,37.05,124,1
657,37.05,125,1
658,37.05,124,1
659,37.05,126,1
660,37.05,126,1
661,37.05,128,1
662,37.05,128,1
663,37.05,128,1
664,37.05,125,1
665,37.05,122,1
666,37.05,126,1
667,37.05,128,1
668,37.05,126,1
669,37.0,125,1
670,37.0,123,1
671,37.0,120,1
672,37.0,115,1
673,37.0,114,1
674,36.95,117,1
675,36.95,123,1
676,36.95,109,1
677,36.95,120,1
678,36.95,125,1
679,36.95,117,4
680,36.95,135,4
681,36.95,134,4
682,36.95,140,4
683,36.95,147,4
684,36.95,135,4
685,36.95,113,4
686,36.95,154,4
687,36.95,132,4
688,36.95,101,4
689,37.0,118,4
690,37.05,109,4
691,37.05,101,4
692,37.05,118,4
693,37.05,125,4
694,37.05,112,4
695,37.05,115,4
696,37.05,111,4
697,37.1,124,4
698,37.1,126,4
699,37.1,130,4
700,37.15,135,4
701,37.1,124,4
702,37.1,114,4
703,37.15,119,4
704,37.1,119,4
705,37.15,116,4
706,37.15,136,4
707,37.15,130,4
708,37.15,137,4
709,37.15,139,4
710,37.15,110,4
711,37.15,120,4
712,37.15,136,4
713,37.15,141,4
714,37.15,126,4
715,37.15,111,4
716,37.1,113,4
717,37.15,114,4
718,37.15,133,4
719,37.15,143,4
720,37.15,114,4
721,37.15,117,4
722,37.15,132,4
723,37.15,100,4
724,37.15,158,4
725,37.2,161,4
726,37.2,133,4
727,37.2,148,4
728,37.2,150,4
729,37.2,113,4
730,37.2,116,4
731,37.2,117,4
732,37.2,120,4
733,37.2,120,4
734,37.2,120,4
735,37.2,120,4
736,37.2,111,4
737,37.2,118,4
738,37.2,131,4
739,37.2,132,4
740,37.2,145,4
741,37.2,118,4
742,37.2,126,4
743,37.2,146,4
744,37.2,167,4
745,37.2,163,4
746,37.25,163,4
747,37.25,165,4
748,37.25,166,4
749,37.25,161,4
750,37.25,134,4
751,37.25,133,4
752,37.25,132,4
753,37.25,131,4
754,37.25,130,4
755,37.25,160,4
756,37.25,153,4
757,37.3,155,4
758,37.3,139,4
759,37.3,127,4
760,37.3,125,4
761,37.3,118,4
762,37.3,141,4
763,37.3,158,4
764,37.3,163,4
765,37.3,166,4
766,37.3,166,4
767,37.3,166,4
768,37.3,153,4
769,37.3,157,4
770,37.3,155,4
771,37.3,163,4
772,37.3,128,4
773,37.3,129,4
774,37.3,130,4
775,37.3,131,4
776,37.3,152,4
777,37.3,169,4
778,37.3,160,4
779,37.3,162,4
780,37.3,168,4
781,37.3,182,4
782,37.3,160,4
783,37.3,159,4
784,37.25,146,4
785,37.25,155,4
786,37.25,153,2
787,37.25,156,2
788,37.25,168,2
789,37.25,145,2
